id,prompt,answer,category,subcategory,source,is_augmented,parse_status,target_text,num_examples,examples_json,rule_type,confidence_hint
00457d26,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
`!*[{ = '""[`
\'*'> = ![@
\'-!` = \\
`!*\& = '@'{
Now, determine the result for: [[-!'",@&,symbol,alice_symbol_equation,original,False,ok,[[-!',4,"[[""`!*[{"", ""'\""[`""], [""\\'*'>"", ""![@""], [""\\'-!`"", ""\\\\""], [""`!*\\&"", ""'@'{""]]",alice_symbol_equation,original_classified
00c032a8,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
}`]?( = ())
}#<)\ = #?
?(!&& = #@@#
(?!@` = )#))
Now, determine the result for: ))!\)",\^?,symbol,alice_symbol_equation,original,False,ok,))!\),4,"[[""}`]?("", ""())""], [""}#<)\\"", ""#?""], [""?(!&&"", ""#@@#""], [""(?!@`"", "")#))""]]",alice_symbol_equation,original_classified
00d8b3db,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
34/44 = 1
41/32 = 9
34|25 = 69
87\64 = 8853
Now, determine the result for: 69/52",17/,symbol,alice_symbol_equation,original,False,ok,69/52,4,"[[""34/44"", ""1""], [""41/32"", ""9""], [""34|25"", ""69""], [""87\\64"", ""8853""]]",alice_symbol_equation,original_classified
012cab1f,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
`(]&: = %@#:
&{>`% = {{
(""'%: = {@{
:%>&: = :""
`('""@ = %@{
Now, determine the result for: {`'(&",|@{,symbol,alice_symbol_equation,original,False,ok,{`'(&,5,"[[""`(]&:"", ""%@#:""], [""&{>`%"", ""{{""], [""(\""'%:"", ""{@{""], ["":%>&:"", "":\""""], [""`('\""@"", ""%@{""]]",alice_symbol_equation,original_classified
0133bcec,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
%|*""| = %|""|
\(*[^ = \([^
(%+[@ = (%[@
|[*([ = |[([
[^-[( = -^
Now, determine the result for: \(*[#",\([#,symbol,alice_symbol_equation,original,False,ok,\(*[#,5,"[[""%|*\""|"", ""%|\""|""], [""\\(*[^"", ""\\([^""], [""(%+[@"", ""(%[@""], [""|[*(["", ""|[([""], [""[^-[("", ""-^""]]",alice_symbol_equation,original_classified
017a871e,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
#]+\# = ""!
#^-{] = ]#
\{*\! = #\^:
Now, determine the result for: #!-""^",\:,symbol,alice_symbol_equation,original,False,ok,"#!-""^",3,"[[""#]+\\#"", ""\""!""], [""#^-{]"", ""]#""], [""\\{*\\!"", ""#\\^:""]]",alice_symbol_equation,original_classified
01b2aa67,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
:|+>\ = {]
|}&{> = """"@]
@:^]] = {|
|{&{{ = ""{:@
Now, determine the result for: |}+@}",+},symbol,alice_symbol_equation,original,False,ok,|}+@},4,"[["":|+>\\"", ""{]""], [""|}&{>"", ""\""\""@]""], [""@:^]]"", ""{|""], [""|{&{{"", ""\""{:@""]]",alice_symbol_equation,original_classified
01cd504a,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
64-65 = 201
28-68 = 861
82/15 = 8241
Now, determine the result for: 85/77",6644,symbol,alice_symbol_equation,original,False,ok,85/77,3,"[[""64-65"", ""201""], [""28-68"", ""861""], [""82/15"", ""8241""]]",alice_symbol_equation,original_classified
01ef1e3e,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
'(-^} = }`
}'-]` = `<
[/*^< = /([
^}*'< = ^`['
^]*}] = ][(`
Now, determine the result for: ''+`!",[](,symbol,alice_symbol_equation,original,False,ok,''+`!,5,"[[""'(-^}"", ""}`""], [""}'-]`"", ""`<""], [""[/*^<"", ""/([""], [""^}*'<"", ""^`['""], [""^]*}]"", ""][(`""]]",alice_symbol_equation,original_classified
022c4d73,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
//?|[ = ?:/
)\?`| = ?':
[)$|: = !:'
:)$!: = )!'
Now, determine the result for: :!?'/",!',symbol,alice_symbol_equation,original,False,ok,:!?'/,4,"[[""//?|["", ""?:/""], ["")\\?`|"", ""?':""], [""[)$|:"", ""!:'""], ["":)$!:"", "")!'""]]",alice_symbol_equation,original_classified
026106f5,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
52{43 = 9
31*15 = 46
37{26 = 11
17{92 = 24
Now, determine the result for: 75*97",631,symbol,alice_symbol_equation,original,False,ok,75*97,4,"[[""52{43"", ""9""], [""31*15"", ""46""], [""37{26"", ""11""], [""17{92"", ""24""]]",alice_symbol_equation,original_classified
02664ad5,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
`[-^[ = `(
:'-') = (#
}#+'} = [}
Now, determine the result for: !}-(!",:}',symbol,alice_symbol_equation,original,False,ok,!}-(!,3,"[[""`[-^["", ""`(""], ["":'-')"", ""(#""], [""}#+'}"", ""[}""]]",alice_symbol_equation,original_classified
02902eb3,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
!&*%% = }%>%
%&-/> = $)
$]*&& = }&&}
Now, determine the result for: !!+$>",>/,symbol,alice_symbol_equation,original,False,ok,!!+$>,3,"[[""!&*%%"", ""}%>%""], [""%&-/>"", ""$)""], [""$]*&&"", ""}&&}""]]",alice_symbol_equation,original_classified
02a04b59,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
#""*/[ = #""/[
]>+\$ = #[$
\/+/[ = #<>
Now, determine the result for: #>*]#",#>]#,symbol,alice_symbol_equation,original,False,ok,#>*]#,3,"[[""#\""*/["", ""#\""/[""], [""]>+\\$"", ""#[$""], [""\\/+/["", ""#<>""]]",alice_symbol_equation,original_classified
02b8d816,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
`$+%/ = `$%/
!$*""% = \\!""
%`-\[ = -`>
Now, determine the result for: >$+$>",>$$>,symbol,alice_symbol_equation,original,False,ok,>$+$>,3,"[[""`$+%/"", ""`$%/""], [""!$*\""%"", ""\\\\!\""""], [""%`-\\["", ""-`>""]]",alice_symbol_equation,original_classified
02c15453,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
(""-]] = '(
""%-!@ = ""
(""-%' = ])
\@-'% = >""
Now, determine the result for: >'-]'",(,symbol,alice_symbol_equation,original,False,ok,>'-]',4,"[[""(\""-]]"", ""'(""], [""\""%-!@"", ""\""""], [""(\""-%'"", ""])""], [""\\@-'%"", "">\""""]]",alice_symbol_equation,original_classified
02e871e4,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
$?+?# = ^#'
>^+/^ = >#
'#*]< = ]</$
]\+<> = ^]'
Now, determine the result for: \]-]#",$',symbol,alice_symbol_equation,original,False,ok,\]-]#,4,"[[""$?+?#"", ""^#'""], ["">^+/^"", "">#""], [""'#*]<"", ""]</$""], [""]\\+<>"", ""^]'""]]",alice_symbol_equation,original_classified
035c4c40,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
#>*%< = /(``
/?-`< = -<
|`->( = -/?
##*|# = ((#
>`*|> = /<|
Now, determine the result for: ?<-'#",??,symbol,alice_symbol_equation,original,False,ok,?<-'#,5,"[[""#>*%<"", ""/(``""], [""/?-`<"", ""-<""], [""|`"", ""( = -/?""], [""##*|#"", ""((#""], ["">`*|>"", ""/<|""]]",alice_symbol_equation,original_classified
03a3437f,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
/>-|/ = ':
'>+/! = '>/!
}!-'` = >'
Now, determine the result for: '}-/>",-!,symbol,alice_symbol_equation,original,False,ok,'}-/>,3,"[[""/>-|/"", ""':""], [""'>+/!"", ""'>/!""], [""}!-'`"", "">'""]]",alice_symbol_equation,original_classified
03f07b43,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
55`39 = 16
61\65 = 126
42>23 = 4223
17\21 = 38
Now, determine the result for: 81`20",61,symbol,alice_symbol_equation,original,False,ok,81`20,4,"[[""55`39"", ""16""], [""61\\65"", ""126""], [""42>23"", ""4223""], [""17\\21"", ""38""]]",alice_symbol_equation,original_classified
04171e29,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
34-73 = 6
28*71 = 4931
56-45 = 11
13*39 = 3882
57*67 = 0075
Now, determine the result for: 97-65",32,symbol,alice_symbol_equation,original,False,ok,97-65,5,"[[""34-73"", ""6""], [""28*71"", ""4931""], [""56-45"", ""11""], [""13*39"", ""3882""], [""57*67"", ""0075""]]",alice_symbol_equation,original_classified
