id,prompt,answer,category,subcategory,source,is_augmented,parse_status,target_text,num_examples,examples_json,rule_type,confidence_hint
00066667,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
01010001 -> 11011101
00001001 -> 01101101
00010101 -> 01010101
11111111 -> 10000001
10011101 -> 01000101
00111011 -> 00001001
10111101 -> 00000101
00100110 -> 10110011

Now, determine the output for: 00110100",10010111,bitwise,bitwise_rule_discovery,original,False,ok,00110100,9,"[[""Here are some examples of input"", ""output:""], [""01010001"", ""11011101""], [""00001001"", ""01101101""], [""00010101"", ""01010101""], [""11111111"", ""10000001""], [""10011101"", ""01000101""], [""00111011"", ""00001001""], [""10111101"", ""00000101""], [""00100110"", ""10110011""]]",bitwise_rule_discovery,original_classified
000b53cf,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10001110 -> 00100110
10011001 -> 01000100
01100100 -> 00010001
10000010 -> 00001010
00011011 -> 01001100
00111010 -> 10011100
01101111 -> 00110111
10010110 -> 01011010
00001010 -> 00101100

Now, determine the output for: 11100000",01000011,bitwise,bitwise_rule_discovery,original,False,ok,11100000,10,"[[""Here are some examples of input"", ""output:""], [""10001110"", ""00100110""], [""10011001"", ""01000100""], [""01100100"", ""00010001""], [""10000010"", ""00001010""], [""00011011"", ""01001100""], [""00111010"", ""10011100""], [""01101111"", ""00110111""], [""10010110"", ""01011010""], [""00001010"", ""00101100""]]",bitwise_rule_discovery,original_classified
0031df9c,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
00000000 -> 00000000
11001011 -> 11110010
11110010 -> 10111100
01001000 -> 00010010
01101000 -> 00011010
01011101 -> 01010111
10111001 -> 01101110
11011111 -> 11110111
11110101 -> 01111101
01111001 -> 01011110

Now, determine the output for: 11010000",00110100,bitwise,bitwise_rule_discovery,original,False,ok,11010000,11,"[[""Here are some examples of input"", ""output:""], [""00000000"", ""00000000""], [""11001011"", ""11110010""], [""11110010"", ""10111100""], [""01001000"", ""00010010""], [""01101000"", ""00011010""], [""01011101"", ""01010111""], [""10111001"", ""01101110""], [""11011111"", ""11110111""], [""11110101"", ""01111101""], [""01111001"", ""01011110""]]",bitwise_rule_discovery,original_classified
004ef7c7,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
11101001 -> 01111101
11010100 -> 11111110
00110011 -> 00000111
00111000 -> 01001111
00101011 -> 11110101
00100010 -> 10101111
10000010 -> 11111010
00001010 -> 10111011

Now, determine the output for: 01010101",11111111,bitwise,bitwise_rule_discovery,original,False,ok,01010101,9,"[[""Here are some examples of input"", ""output:""], [""11101001"", ""01111101""], [""11010100"", ""11111110""], [""00110011"", ""00000111""], [""00111000"", ""01001111""], [""00101011"", ""11110101""], [""00100010"", ""10101111""], [""10000010"", ""11111010""], [""00001010"", ""10111011""]]",bitwise_rule_discovery,original_classified
00754598,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10101001 -> 01100010
00110011 -> 10010100
00100111 -> 00110001
11011100 -> 11010111
01110010 -> 10001100
01010001 -> 10011100
00100101 -> 00100001
00100001 -> 00000000
10011111 -> 11011111

Now, determine the output for: 01111110",11101111,bitwise,bitwise_rule_discovery,original,False,ok,01111110,10,"[[""Here are some examples of input"", ""output:""], [""10101001"", ""01100010""], [""00110011"", ""10010100""], [""00100111"", ""00110001""], [""11011100"", ""11010111""], [""01110010"", ""10001100""], [""01010001"", ""10011100""], [""00100101"", ""00100001""], [""00100001"", ""00000000""], [""10011111"", ""11011111""]]",bitwise_rule_discovery,original_classified
00890aff,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
01110000 -> 00011000
11101010 -> 10111000
00001011 -> 00000100
00111101 -> 01011110
01010101 -> 01010100
01111001 -> 01111100
11001001 -> 01100100
01101110 -> 10111011
10111001 -> 01101100
01111110 -> 10111111

Now, determine the output for: 11100101",01110000,bitwise,bitwise_rule_discovery,original,False,ok,11100101,11,"[[""Here are some examples of input"", ""output:""], [""01110000"", ""00011000""], [""11101010"", ""10111000""], [""00001011"", ""00000100""], [""00111101"", ""01011110""], [""01010101"", ""01010100""], [""01111001"", ""01111100""], [""11001001"", ""01100100""], [""01101110"", ""10111011""], [""10111001"", ""01101100""], [""01111110"", ""10111111""]]",bitwise_rule_discovery,original_classified
008b52fd,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10011001 -> 01001110
10110101 -> 00010110
10011101 -> 01000110
10011110 -> 11000010
10111000 -> 10001110
11010000 -> 01011111
00110001 -> 00011101
11000111 -> 11110011
11110001 -> 10011111
11010001 -> 11011111

Now, determine the output for: 00001101",01100101,bitwise,bitwise_rule_discovery,original,False,ok,00001101,11,"[[""Here are some examples of input"", ""output:""], [""10011001"", ""01001110""], [""10110101"", ""00010110""], [""10011101"", ""01000110""], [""10011110"", ""11000010""], [""10111000"", ""10001110""], [""11010000"", ""01011111""], [""00110001"", ""00011101""], [""11000111"", ""11110011""], [""11110001"", ""10011111""], [""11010001"", ""11011111""]]",bitwise_rule_discovery,original_classified
009a74b6,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
01110101 -> 00000111
01101101 -> 10000110
10001000 -> 01101110
11101010 -> 00001110
10100101 -> 00011011
10001011 -> 00111110
10101101 -> 10011010
11101101 -> 10011110
10110001 -> 11011011
01100001 -> 11000111

Now, determine the output for: 00110000",11111011,bitwise,bitwise_rule_discovery,original,False,ok,00110000,11,"[[""Here are some examples of input"", ""output:""], [""01110101"", ""00000111""], [""01101101"", ""10000110""], [""10001000"", ""01101110""], [""11101010"", ""00001110""], [""10100101"", ""00011011""], [""10001011"", ""00111110""], [""10101101"", ""10011010""], [""11101101"", ""10011110""], [""10110001"", ""11011011""], [""01100001"", ""11000111""]]",bitwise_rule_discovery,original_classified
00fdc0be,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
01101111 -> 10111111
01001110 -> 00111111
01111101 -> 11111110
10111111 -> 11111111
01101011 -> 10111101
00010101 -> 11011110
11011111 -> 11111111

Now, determine the output for: 10101111",11111111,bitwise,bitwise_rule_discovery,original,False,ok,10101111,8,"[[""Here are some examples of input"", ""output:""], [""01101111"", ""10111111""], [""01001110"", ""00111111""], [""01111101"", ""11111110""], [""10111111"", ""11111111""], [""01101011"", ""10111101""], [""00010101"", ""11011110""], [""11011111"", ""11111111""]]",bitwise_rule_discovery,original_classified
01248b76,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
01101100 -> 00011000
01010011 -> 10010110
00000000 -> 00000000
11011010 -> 00010101
00011010 -> 10010100
00000001 -> 00010010
11110110 -> 10001101
01100110 -> 10101100

Now, determine the output for: 11110010",11000101,bitwise,bitwise_rule_discovery,original,False,ok,11110010,9,"[[""Here are some examples of input"", ""output:""], [""01101100"", ""00011000""], [""01010011"", ""10010110""], [""00000000"", ""00000000""], [""11011010"", ""00010101""], [""00011010"", ""10010100""], [""00000001"", ""00010010""], [""11110110"", ""10001101""], [""01100110"", ""10101100""]]",bitwise_rule_discovery,original_classified
