id,prompt,answer,task_type,source,is_replay,teacher_target,teacher_data_role,teacher_strategy
teacher_numeric_arithmetic_main_replay_ac262f12,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
42+63 = 16
52*79 = 4242
86-26 = 6
Now, determine the result for: 19*92",8362,numeric_equation,original_replay,True,teacher_numeric_arithmetic,main,numeric_arithmetic_original_focus
teacher_numeric_arithmetic_main_47dc6570,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
79+05 = 1584
59+03 = 1582
87+37 = 5965
67+65 = 7524
51#03 = #51
Now, determine the result for: 48#26",22,numeric_equation,original,False,teacher_numeric_arithmetic,main,numeric_arithmetic_original_focus
teacher_numeric_arithmetic_main_replay_b62453dc,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
91*96 = 9691
99-98 = 01
16*74 = 7416
Now, determine the result for: 43-19",-75,numeric_equation,original_replay,True,teacher_numeric_arithmetic,main,numeric_arithmetic_original_focus
teacher_numeric_arithmetic_math_replay_5e502d98,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
8.4 m becomes 5.60
22.55 m becomes 15.05
41.21 m becomes 27.50
17.82 m becomes 11.89
Now, convert the following measurement: 12.46 m",8.31,unit_conversion,original,False,teacher_numeric_arithmetic,strategy_replay,numeric_arithmetic_gravity_unit_replay
teacher_numeric_arithmetic_math_replay_116a25e1,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
36.16 m becomes 54.26
33.61 m becomes 50.43
35.07 m becomes 52.62
49.44 m becomes 74.19
23.2 m becomes 34.81
Now, convert the following measurement: 29.07 m",43.62,unit_conversion,original,False,teacher_numeric_arithmetic,strategy_replay,numeric_arithmetic_gravity_unit_replay
teacher_numeric_arithmetic_main_28f7012c,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
47*91 = 6041
62-33 = 7
89-71 = 31
Now, determine the result for: 41+75",7541,numeric_equation,original,False,teacher_numeric_arithmetic,main,numeric_arithmetic_original_focus
teacher_numeric_arithmetic_replay_ae61350b,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
25 -> XXV
35 -> XXXV
84 -> LXXXIV
59 -> LIX
28 -> XXVIII
Now, write the number 63 in the Wonderland numeral system.",LXIII,numeral_system,original,False,teacher_numeric_arithmetic,format_replay,numeric_arithmetic_format_replay_other_original
teacher_numeric_arithmetic_math_replay_68d2848b,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 3.45s, distance = 88.28 m
For t = 4.95s, distance = 181.73 m
For t = 1.96s, distance = 28.49 m
Now, determine the falling distance for t = 2.1s given d = 0.5*g*t^2.",32.71,gravity,original,False,teacher_numeric_arithmetic,strategy_replay,numeric_arithmetic_gravity_unit_replay
teacher_numeric_arithmetic_main_a1523a63,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
77(78 = 01
03%18 = 011
05%08 = 921
Now, determine the result for: 66%31",87,numeric_equation,original,False,teacher_numeric_arithmetic,main,numeric_arithmetic_original_focus
teacher_numeric_arithmetic_main_replay_f6ca90f6,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
95&98 = 192
12&95 = 106
69{88 = {19
42&95 = 136
43{53 = {10
Now, determine the result for: 54{23",31,numeric_equation,original_replay,True,teacher_numeric_arithmetic,main,numeric_arithmetic_original_focus
teacher_numeric_arithmetic_math_replay_a6195da7,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
15.05 m becomes 7.65
43.95 m becomes 22.35
31.26 m becomes 15.90
Now, convert the following measurement: 6.97 m",3.54,unit_conversion,original,False,teacher_numeric_arithmetic,strategy_replay,numeric_arithmetic_gravity_unit_replay
teacher_numeric_arithmetic_replay_05fc4fcb,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
47 -> XLVII
80 -> LXXX
87 -> LXXXVII
Now, write the number 43 in the Wonderland numeral system.",XLIII,numeral_system,original,False,teacher_numeric_arithmetic,format_replay,numeric_arithmetic_format_replay_other_original
teacher_numeric_arithmetic_main_592107c3,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
70<36 = 2520
21+95 = 2195
69<15 = 1035
Now, determine the result for: 75/62",/13,numeric_equation,original,False,teacher_numeric_arithmetic,main,numeric_arithmetic_original_focus
teacher_numeric_arithmetic_math_replay_efc5b861,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
17.61 m becomes 33.73
17.3 m becomes 33.14
47.13 m becomes 90.29
Now, convert the following measurement: 42.8 m",81.99,unit_conversion,original,False,teacher_numeric_arithmetic,strategy_replay,numeric_arithmetic_gravity_unit_replay
teacher_numeric_arithmetic_replay_8187e517,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
""{+{% = @@""
%""-@"" = -&(
@)*)< = {{#
Now, determine the result for: {(+)#",@&#,symbolic_cipher,original,False,teacher_numeric_arithmetic,format_replay,numeric_arithmetic_format_replay_other_original
teacher_numeric_arithmetic_replay_3d1fa758,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
53 -> LIII
27 -> XXVII
40 -> XL
75 -> LXXV
Now, write the number 1 in the Wonderland numeral system.",I,numeral_system,original,False,teacher_numeric_arithmetic,format_replay,numeric_arithmetic_format_replay_other_original
