id,prompt,answer,category,subcategory,source,is_augmented,parse_status,target_text,num_examples,examples_json,rule_type,confidence_hint
00208201,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
10.08 m becomes 6.69
17.83 m becomes 11.83
35.85 m becomes 23.79
17.06 m becomes 11.32
31.54 m becomes 20.93
Now, convert the following measurement: 25.09 m",16.65,unit,length_unit,original,False,ok,25.09 m,5,"[[""10.08 m"", ""6.69""], [""17.83 m"", ""11.83""], [""35.85 m"", ""23.79""], [""17.06 m"", ""11.32""], [""31.54 m"", ""20.93""]]",length_unit,original_classified
0047365c,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
32.58 m becomes 26.62
10.9 m becomes 8.90
17.86 m becomes 14.59
Now, convert the following measurement: 13.0 m",10.62,unit,length_unit,original,False,ok,13.0 m,3,"[[""32.58 m"", ""26.62""], [""10.9 m"", ""8.90""], [""17.86 m"", ""14.59""]]",length_unit,original_classified
0059df78,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
35.31 m becomes 32.49
11.58 m becomes 10.65
37.75 m becomes 34.73
7.15 m becomes 6.58
25.38 m becomes 23.35
Now, convert the following measurement: 47.21 m",43.43,unit,length_unit,original,False,ok,47.21 m,5,"[[""35.31 m"", ""32.49""], [""11.58 m"", ""10.65""], [""37.75 m"", ""34.73""], [""7.15 m"", ""6.58""], [""25.38 m"", ""23.35""]]",length_unit,original_classified
006a46d3,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
30.38 m becomes 52.95
41.16 m becomes 71.74
43.09 m becomes 75.10
23.73 m becomes 41.36
42.13 m becomes 73.43
Now, convert the following measurement: 10.9 m",19.00,unit,length_unit,original,False,ok,10.9 m,5,"[[""30.38 m"", ""52.95""], [""41.16 m"", ""71.74""], [""43.09 m"", ""75.10""], [""23.73 m"", ""41.36""], [""42.13 m"", ""73.43""]]",length_unit,original_classified
00a77d86,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
22.62 m becomes 40.87
32.87 m becomes 59.39
12.43 m becomes 22.46
31.75 m becomes 57.37
Now, convert the following measurement: 11.38 m",20.56,unit,length_unit,original,False,ok,11.38 m,4,"[[""22.62 m"", ""40.87""], [""32.87 m"", ""59.39""], [""12.43 m"", ""22.46""], [""31.75 m"", ""57.37""]]",length_unit,original_classified
00c8ab45,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
6.43 m becomes 8.04
28.26 m becomes 35.36
7.35 m becomes 9.20
18.66 m becomes 23.35
Now, convert the following measurement: 18.98 m",23.75,unit,length_unit,original,False,ok,18.98 m,4,"[[""6.43 m"", ""8.04""], [""28.26 m"", ""35.36""], [""7.35 m"", ""9.20""], [""18.66 m"", ""23.35""]]",length_unit,original_classified
00d1932c,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
42.94 m becomes 22.68
17.68 m becomes 9.34
46.96 m becomes 24.81
46.08 m becomes 24.34
31.21 m becomes 16.49
Now, convert the following measurement: 23.62 m",12.48,unit,length_unit,original,False,ok,23.62 m,5,"[[""42.94 m"", ""22.68""], [""17.68 m"", ""9.34""], [""46.96 m"", ""24.81""], [""46.08 m"", ""24.34""], [""31.21 m"", ""16.49""]]",length_unit,original_classified
010055e2,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
5.08 m becomes 3.05
22.98 m becomes 13.78
22.84 m becomes 13.70
33.62 m becomes 20.17
Now, convert the following measurement: 47.17 m",28.29,unit,length_unit,original,False,ok,47.17 m,4,"[[""5.08 m"", ""3.05""], [""22.98 m"", ""13.78""], [""22.84 m"", ""13.70""], [""33.62 m"", ""20.17""]]",length_unit,original_classified
0140788e,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
40.61 m becomes 73.32
34.78 m becomes 62.79
12.78 m becomes 23.07
31.68 m becomes 57.19
Now, convert the following measurement: 21.46 m",38.74,unit,length_unit,original,False,ok,21.46 m,4,"[[""40.61 m"", ""73.32""], [""34.78 m"", ""62.79""], [""12.78 m"", ""23.07""], [""31.68 m"", ""57.19""]]",length_unit,original_classified
01466f0b,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
15.99 m becomes 28.03
10.68 m becomes 18.72
34.08 m becomes 59.75
8.82 m becomes 15.46
34.33 m becomes 60.19
Now, convert the following measurement: 26.76 m",46.91,unit,length_unit,original,False,ok,26.76 m,5,"[[""15.99 m"", ""28.03""], [""10.68 m"", ""18.72""], [""34.08 m"", ""59.75""], [""8.82 m"", ""15.46""], [""34.33 m"", ""60.19""]]",length_unit,original_classified
