id,prompt,answer,task_type,source,is_replay,teacher_target,teacher_data_role,teacher_strategy
teacher_unit_main_syn_unit_01775,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
76.36 m becomes 170.28
34.40 m becomes 76.71
56.88 m becomes 126.84
54.14 m becomes 120.73
96.49 m becomes 215.17
Now, convert the following measurement: 86.25 m",192.34,unit_conversion,synthetic_unit_conversion,False,teacher_unit,main,unit_main_ratio_conversion
teacher_unit_main_syn_unit_02937,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
26.91 m becomes 19.57
28.38 m becomes 20.64
34.01 m becomes 24.74
74.44 m becomes 54.15
17.71 m becomes 12.88
Now, convert the following measurement: 71.01 m",51.65,unit_conversion,synthetic_unit_conversion,False,teacher_unit,main,unit_main_ratio_conversion
teacher_unit_replay_53329505,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
01111101 -> 11111011
01110010 -> 11100101
01000111 -> 10001111
00110100 -> 01101000
00101100 -> 01011000
11011000 -> 10110011
00010000 -> 00100000
00001111 -> 00011110
00101111 -> 01011110

Now, determine the output for: 01101111",11011111,bit_manipulation,original,False,teacher_unit,format_replay,unit_format_replay_other_original
teacher_unit_main_syn_unit_00459,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
67.26 m becomes 185.70
21.96 m becomes 60.63
64.43 m becomes 177.89
21.43 m becomes 59.17
25.52 m becomes 70.46
Now, convert the following measurement: 92.57 m",255.59,unit_conversion,synthetic_unit_conversion,False,teacher_unit,main,unit_main_ratio_conversion
teacher_unit_main_replay_031a5f02,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
19.19 m becomes 27.79
19.82 m becomes 28.70
7.8 m becomes 11.29
Now, convert the following measurement: 26.17 m",37.89,unit_conversion,original_replay,True,teacher_unit,main,unit_main_ratio_conversion
teacher_unit_main_syn_unit_00887,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
42.77 m becomes 96.19
14.18 m becomes 31.89
1.43 m becomes 3.22
12.93 m becomes 29.08
48.79 m becomes 109.73
Now, convert the following measurement: 41.13 m",92.50,unit_conversion,synthetic_unit_conversion,False,teacher_unit,main,unit_main_ratio_conversion
teacher_unit_main_syn_unit_02189,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
43.29 m becomes 123.26
32.42 m becomes 92.31
88.68 m becomes 252.49
45.13 m becomes 128.49
68.09 m becomes 193.87
Now, convert the following measurement: 70.86 m",201.75,unit_conversion,synthetic_unit_conversion,False,teacher_unit,main,unit_main_ratio_conversion
teacher_unit_main_1382b4f7,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
21.46 m becomes 23.40
24.89 m becomes 27.14
22.42 m becomes 24.44
35.42 m becomes 38.62
Now, convert the following measurement: 47.73 m",52.04,unit_conversion,original,False,teacher_unit,main,unit_main_ratio_conversion
teacher_unit_main_3209611f,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
36.51 m becomes 26.42
6.73 m becomes 4.87
20.72 m becomes 14.99
22.25 m becomes 16.10
Now, convert the following measurement: 8.56 m",6.19,unit_conversion,original,False,teacher_unit,main,unit_main_ratio_conversion
teacher_unit_replay_bb40f4fa,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
voz xzbhzv rgzza uhwmx -> the secret queen draws
wcfbz mhfvzx twhuza -> alice writes garden
kegxz uhzwkx voz xvhwatz yevfea -> mouse dreams the strange potion
owvvzh mwvbozx fa ywcwbz -> hatter watches in palace
yhfabzxx ufxbejzhx nzl -> princess discovers key
Now, decrypt the following text: naftov degau voz xvhwatz qeen",knight found the strange book,text_decryption,original,False,teacher_unit,format_replay,unit_format_replay_other_original
teacher_unit_main_e5ae10ea,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
46.91 m becomes 68.85
9.64 m becomes 14.15
34.29 m becomes 50.32
12.16 m becomes 17.85
Now, convert the following measurement: 20.93 m",30.72,unit_conversion,original,False,teacher_unit,main,unit_main_ratio_conversion
teacher_unit_main_syn_unit_00579,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
4.11 m becomes 4.40
80.11 m becomes 85.77
14.22 m becomes 15.22
35.39 m becomes 37.89
37.67 m becomes 40.33
Now, convert the following measurement: 23.77 m",25.45,unit_conversion,synthetic_unit_conversion,False,teacher_unit,main,unit_main_ratio_conversion
teacher_unit_main_0e467c7b,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
22.05 m becomes 28.58
14.69 m becomes 19.04
25.24 m becomes 32.72
17.22 m becomes 22.32
36.08 m becomes 46.77
Now, convert the following measurement: 41.11 m",53.29,unit_conversion,original,False,teacher_unit,main,unit_main_ratio_conversion
teacher_unit_main_syn_unit_02973,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
89.34 m becomes 66.52
9.81 m becomes 7.30
24.01 m becomes 17.88
22.84 m becomes 17.01
49.33 m becomes 36.73
Now, convert the following measurement: 77.71 m",57.86,unit_conversion,synthetic_unit_conversion,False,teacher_unit,main,unit_main_ratio_conversion
teacher_unit_main_syn_unit_02841,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
59.76 m becomes 106.82
70.79 m becomes 126.54
33.24 m becomes 59.42
16.09 m becomes 28.76
69.70 m becomes 124.59
Now, convert the following measurement: 76.93 m",137.51,unit_conversion,synthetic_unit_conversion,False,teacher_unit,main,unit_main_ratio_conversion
teacher_unit_main_4357f006,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
32.17 m becomes 19.75
27.64 m becomes 16.97
14.13 m becomes 8.68
29.41 m becomes 18.06
27.02 m becomes 16.59
Now, convert the following measurement: 33.79 m",20.75,unit_conversion,original,False,teacher_unit,main,unit_main_ratio_conversion
teacher_unit_replay_fc115718,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 1.68s, distance = 13.35 m
For t = 3.08s, distance = 44.88 m
For t = 4.24s, distance = 85.05 m
Now, determine the falling distance for t = 2.56s given d = 0.5*g*t^2.",31.0,gravity,original,False,teacher_unit,format_replay,unit_format_replay_other_original
teacher_unit_replay_206c4406,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
59 -> LIX
48 -> XLVIII
92 -> XCII
56 -> LVI
Now, write the number 55 in the Wonderland numeral system.",LV,numeral_system,original,False,teacher_unit,format_replay,unit_format_replay_other_original
