id,prompt,answer,category,subcategory,source,is_augmented,parse_status,target_text,num_examples,examples_json,rule_type,confidence_hint
001b24c4,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
11 -> XI
15 -> XV
94 -> XCIV
19 -> XIX
Now, write the number 38 in the Wonderland numeral system.",XXXVIII,numeral,roman_to_decimal,original,False,ok,38,4,"[[""11"", ""XI""], [""15"", ""XV""], [""94"", ""XCIV""], [""19"", ""XIX""]]",roman_to_decimal,original_classified
00600e6e,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
37 -> XXXVII
41 -> XLI
66 -> LXVI
64 -> LXIV
Now, write the number 67 in the Wonderland numeral system.",LXVII,numeral,roman_to_decimal,original,False,ok,67,4,"[[""37"", ""XXXVII""], [""41"", ""XLI""], [""66"", ""LXVI""], [""64"", ""LXIV""]]",roman_to_decimal,original_classified
00d9f682,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
4 -> IV
42 -> XLII
59 -> LIX
77 -> LXXVII
55 -> LV
Now, write the number 100 in the Wonderland numeral system.",C,numeral,roman_to_decimal,original,False,ok,100,5,"[[""4"", ""IV""], [""42"", ""XLII""], [""59"", ""LIX""], [""77"", ""LXXVII""], [""55"", ""LV""]]",roman_to_decimal,original_classified
0106eb4a,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
32 -> XXXII
76 -> LXXVI
51 -> LI
1 -> I
Now, write the number 84 in the Wonderland numeral system.",LXXXIV,numeral,roman_to_decimal,original,False,ok,84,4,"[[""32"", ""XXXII""], [""76"", ""LXXVI""], [""51"", ""LI""], [""1"", ""I""]]",roman_to_decimal,original_classified
0122d53a,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
93 -> XCIII
20 -> XX
74 -> LXXIV
20 -> XX
Now, write the number 51 in the Wonderland numeral system.",LI,numeral,roman_to_decimal,original,False,ok,51,4,"[[""93"", ""XCIII""], [""20"", ""XX""], [""74"", ""LXXIV""], [""20"", ""XX""]]",roman_to_decimal,original_classified
015430cf,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
76 -> LXXVI
50 -> L
31 -> XXXI
74 -> LXXIV
Now, write the number 77 in the Wonderland numeral system.",LXXVII,numeral,roman_to_decimal,original,False,ok,77,4,"[[""76"", ""LXXVI""], [""50"", ""L""], [""31"", ""XXXI""], [""74"", ""LXXIV""]]",roman_to_decimal,original_classified
0162e157,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
23 -> XXIII
14 -> XIV
32 -> XXXII
64 -> LXIV
54 -> LIV
Now, write the number 52 in the Wonderland numeral system.",LII,numeral,roman_to_decimal,original,False,ok,52,5,"[[""23"", ""XXIII""], [""14"", ""XIV""], [""32"", ""XXXII""], [""64"", ""LXIV""], [""54"", ""LIV""]]",roman_to_decimal,original_classified
0186fc54,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
62 -> LXII
15 -> XV
47 -> XLVII
Now, write the number 64 in the Wonderland numeral system.",LXIV,numeral,roman_to_decimal,original,False,ok,64,3,"[[""62"", ""LXII""], [""15"", ""XV""], [""47"", ""XLVII""]]",roman_to_decimal,original_classified
018871ed,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
85 -> LXXXV
86 -> LXXXVI
89 -> LXXXIX
48 -> XLVIII
Now, write the number 39 in the Wonderland numeral system.",XXXIX,numeral,roman_to_decimal,original,False,ok,39,4,"[[""85"", ""LXXXV""], [""86"", ""LXXXVI""], [""89"", ""LXXXIX""], [""48"", ""XLVIII""]]",roman_to_decimal,original_classified
018d465c,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
64 -> LXIV
17 -> XVII
1 -> I
Now, write the number 15 in the Wonderland numeral system.",XV,numeral,roman_to_decimal,original,False,ok,15,3,"[[""64"", ""LXIV""], [""17"", ""XVII""], [""1"", ""I""]]",roman_to_decimal,original_classified
