id,prompt,answer,task_type,source,is_replay,teacher_target,teacher_data_role,teacher_strategy
teacher_symbolic_solver_main_8a0c1aab,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
?:+[} = >}$
?$+&[ = $?
?>*:< = <[($
&>+?[ = $^
Now, determine the result for: <[-}[",<,symbolic_cipher,original,False,teacher_symbolic_solver,main,symbolic_solver_correct_focus
teacher_symbolic_solver_main_0e3307ba,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
!|["""" = |:$
@<%@! = ||$/
<|^<"" = &
Now, determine the result for: $/^{|",:$,symbolic_cipher,original,False,teacher_symbolic_solver,main,symbolic_solver_correct_focus
teacher_symbolic_solver_main_f624f57c,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
[[>[| = @@|
$(>'/ = ']'/
/(:(@ = ]$
?]>$@ = `|'@
Now, determine the result for: $@:$(",[,symbolic_cipher,original,False,teacher_symbolic_solver,main,symbolic_solver_correct_focus
teacher_symbolic_solver_main_replay_e62b6ae9,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
""<*#"" = !<#""
[[-!% = -#""
%""*!"" = ![#""
Now, determine the result for: `!*^<",[[`<,symbolic_cipher,original_replay,True,teacher_symbolic_solver,main,symbolic_solver_correct_focus
teacher_symbolic_solver_main_replay_be7101dc,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
[#*[: = */
[%""^\ = [%^\
[\+#& = %^^&
:)+}^ = ^^:\
/&+:/ = :/&
Now, determine the result for: %/+^#",\:%#,symbolic_cipher,original_replay,True,teacher_symbolic_solver,main,symbolic_solver_correct_focus
teacher_symbolic_solver_main_symbolic_solver_5ce7c6b4,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
\{@^> = '&^
[&:[{ = ^'`{
^^|\\ = |&&
<>@`' = '{>
Now, determine the result for: \\@>>",'>&,symbolic_cipher,symbolic_solver_correct,False,teacher_symbolic_solver,main,symbolic_solver_correct_focus
teacher_symbolic_solver_main_4b7c076e,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
`/)$@ = #&$
$]^&` = &/`""
&`*]# = *#$
#])$` = @""$
Now, determine the result for: #]){$",#{$,symbolic_cipher,original,False,teacher_symbolic_solver,main,symbolic_solver_correct_focus
teacher_symbolic_solver_main_5e989cc5,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
/{-:$ = -<
:^*): = {))^
:$*/< = :${$
Now, determine the result for: >{+$^",$$,symbolic_cipher,original,False,teacher_symbolic_solver,main,symbolic_solver_correct_focus
teacher_symbolic_solver_main_eabc719f,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
\/-`> = $%%/
`$:%] = >/`
/>:/$ = >|\
Now, determine the result for: `""-%""","/$""""",symbolic_cipher,original,False,teacher_symbolic_solver,main,symbolic_solver_correct_focus
teacher_symbolic_solver_main_fba40625,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
?>/)] = ?>)]
#?'{% = {?
>{'#^ = '&&
>>`#] = {#?>
Now, determine the result for: {>'?#",'>&,symbolic_cipher,original,False,teacher_symbolic_solver,main,symbolic_solver_correct_focus
teacher_symbolic_solver_main_symbolic_solver_da931308,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
^)+}\ = <\
>}+^\ = |]
`>+<) = ]>
Now, determine the result for: ^}-}(",-(],symbolic_cipher,symbolic_solver_correct,False,teacher_symbolic_solver,main,symbolic_solver_correct_focus
teacher_symbolic_solver_replay_1f73f1f0,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 2.9s, distance = 34.52 m
For t = 2.51s, distance = 25.86 m
For t = 1.6s, distance = 10.51 m
Now, determine the falling distance for t = 4.46s given d = 0.5*g*t^2.",81.65,gravity,original,False,teacher_symbolic_solver,format_replay,symbolic_solver_format_replay_other_original
teacher_symbolic_solver_main_symbolic_solver_9935aa11,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
?@*?\ = ?\?@
(#*>< = ><(#
`\+)( = \##
Now, determine the result for: <`-)<",-`#,symbolic_cipher,symbolic_solver_correct,False,teacher_symbolic_solver,main,symbolic_solver_correct_focus
teacher_symbolic_solver_main_symbolic_solver_a9aa6c6e,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
${+&> = ${&>
&>|>$ = &/#
##^<$ = &>
Now, determine the result for: <(^{(",^</,symbolic_cipher,symbolic_solver_correct,False,teacher_symbolic_solver,main,symbolic_solver_correct_focus
teacher_symbolic_solver_main_symbolic_solver_6f0a117d,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
[:-[[ = -'
:)*$$ = {<]@
<)+'< = []<
\\*\' = $:[
:'*[\ = @[[
Now, determine the result for: ]@-'[",-[\,symbolic_cipher,symbolic_solver_correct,False,teacher_symbolic_solver,main,symbolic_solver_correct_focus
teacher_symbolic_solver_main_e9aece37,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
""(*""` = \#`}
#}+'( = ??
}""-%` = '}
Now, determine the result for: """"*((","[`""`",symbolic_cipher,original,False,teacher_symbolic_solver,main,symbolic_solver_correct_focus
teacher_symbolic_solver_replay_67f1bc8a,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
72-79 = 8162
69?68 = 01?
35?88 = 53
31?46 = 15
76>64 = 311
Now, determine the result for: 77-61",1321,numeric_equation,original,False,teacher_symbolic_solver,format_replay,symbolic_solver_format_replay_other_original
teacher_symbolic_solver_main_fbd5fe63,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
{>+{> = ^<
!^-{[ = -$!
`\+{` = $>""
$^-<> = -^\
Now, determine the result for: {""+^\",$[>,symbolic_cipher,original,False,teacher_symbolic_solver,main,symbolic_solver_correct_focus
