id,prompt,answer,category,subcategory,source,is_augmented,parse_status,target_text,num_examples,examples_json,rule_type,confidence_hint
0040ff76,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 1.37s, distance = 14.92 m
For t = 4.27s, distance = 144.96 m
For t = 3.28s, distance = 85.54 m
For t = 3.67s, distance = 107.09 m
For t = 1.78s, distance = 25.19 m
Now, determine the falling distance for t = 4.41s given d = 0.5*g*t^2.",154.62,gravity,gravity_scaling,original,False,ok,t = 4.41s,5,"[[""t = 1.37s"", ""14.92 m""], [""t = 4.27s"", ""144.96 m""], [""t = 3.28s"", ""85.54 m""], [""t = 3.67s"", ""107.09 m""], [""t = 1.78s"", ""25.19 m""]]",gravity_scaling,original_classified
00463d04,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 4.85s, distance = 204.55 m
For t = 3.13s, distance = 85.19 m
For t = 1.7s, distance = 25.13 m
For t = 3.16s, distance = 86.84 m
For t = 3.23s, distance = 90.73 m
Now, determine the falling distance for t = 2.41s given d = 0.5*g*t^2.",50.51,gravity,gravity_scaling,original,False,ok,t = 2.41s,5,"[[""t = 4.85s"", ""204.55 m""], [""t = 3.13s"", ""85.19 m""], [""t = 1.7s"", ""25.13 m""], [""t = 3.16s"", ""86.84 m""], [""t = 3.23s"", ""90.73 m""]]",gravity_scaling,original_classified
00619cba,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 4.74s, distance = 141.41 m
For t = 3.71s, distance = 86.63 m
For t = 1.75s, distance = 19.27 m
Now, determine the falling distance for t = 3.82s given d = 0.5*g*t^2.",91.84,gravity,gravity_scaling,original,False,ok,t = 3.82s,3,"[[""t = 4.74s"", ""141.41 m""], [""t = 3.71s"", ""86.63 m""], [""t = 1.75s"", ""19.27 m""]]",gravity_scaling,original_classified
00662ac2,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 4.32s, distance = 54.42 m
For t = 2.58s, distance = 19.41 m
For t = 1.61s, distance = 7.56 m
Now, determine the falling distance for t = 2.01s given d = 0.5*g*t^2.",11.78,gravity,gravity_scaling,original,False,ok,t = 2.01s,3,"[[""t = 4.32s"", ""54.42 m""], [""t = 2.58s"", ""19.41 m""], [""t = 1.61s"", ""7.56 m""]]",gravity_scaling,original_classified
0073bcbb,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 3.25s, distance = 78.86 m
For t = 1.98s, distance = 29.27 m
For t = 1.9s, distance = 26.95 m
For t = 3.08s, distance = 70.82 m
For t = 1.82s, distance = 24.73 m
Now, determine the falling distance for t = 1.65s given d = 0.5*g*t^2.",20.33,gravity,gravity_scaling,original,False,ok,t = 1.65s,5,"[[""t = 3.25s"", ""78.86 m""], [""t = 1.98s"", ""29.27 m""], [""t = 1.9s"", ""26.95 m""], [""t = 3.08s"", ""70.82 m""], [""t = 1.82s"", ""24.73 m""]]",gravity_scaling,original_classified
00ec1c63,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 1.21s, distance = 8.94 m
For t = 1.27s, distance = 9.85 m
For t = 3.71s, distance = 84.03 m
For t = 4.89s, distance = 145.98 m
For t = 2.53s, distance = 39.08 m
Now, determine the falling distance for t = 1.12s given d = 0.5*g*t^2.",7.66,gravity,gravity_scaling,original,False,ok,t = 1.12s,5,"[[""t = 1.21s"", ""8.94 m""], [""t = 1.27s"", ""9.85 m""], [""t = 3.71s"", ""84.03 m""], [""t = 4.89s"", ""145.98 m""], [""t = 2.53s"", ""39.08 m""]]",gravity_scaling,original_classified
00ed1836,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 3.28s, distance = 53.97 m
For t = 4.11s, distance = 84.74 m
For t = 3.11s, distance = 48.52 m
For t = 2.12s, distance = 22.55 m
For t = 4.66s, distance = 108.94 m
Now, determine the falling distance for t = 2.2s given d = 0.5*g*t^2.",24.28,gravity,gravity_scaling,original,False,ok,t = 2.2s,5,"[[""t = 3.28s"", ""53.97 m""], [""t = 4.11s"", ""84.74 m""], [""t = 3.11s"", ""48.52 m""], [""t = 2.12s"", ""22.55 m""], [""t = 4.66s"", ""108.94 m""]]",gravity_scaling,original_classified
01714be2,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 1.32s, distance = 9.87 m
For t = 1.07s, distance = 6.48 m
For t = 1.48s, distance = 12.4 m
Now, determine the falling distance for t = 4.98s given d = 0.5*g*t^2.",140.44,gravity,gravity_scaling,original,False,ok,t = 4.98s,3,"[[""t = 1.32s"", ""9.87 m""], [""t = 1.07s"", ""6.48 m""], [""t = 1.48s"", ""12.4 m""]]",gravity_scaling,original_classified
01a065bb,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 2.28s, distance = 21.1 m
For t = 1.22s, distance = 6.04 m
For t = 1.52s, distance = 9.38 m
For t = 4.51s, distance = 82.54 m
Now, determine the falling distance for t = 3.33s given d = 0.5*g*t^2.",45.0,gravity,gravity_scaling,original,False,ok,t = 3.33s,4,"[[""t = 2.28s"", ""21.1 m""], [""t = 1.22s"", ""6.04 m""], [""t = 1.52s"", ""9.38 m""], [""t = 4.51s"", ""82.54 m""]]",gravity_scaling,original_classified
01f90423,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 1.48s, distance = 15.58 m
For t = 2.53s, distance = 45.54 m
For t = 1.67s, distance = 19.84 m
For t = 3.15s, distance = 70.59 m
For t = 1.55s, distance = 17.09 m
Now, determine the falling distance for t = 4.46s given d = 0.5*g*t^2.",141.52,gravity,gravity_scaling,original,False,ok,t = 4.46s,5,"[[""t = 1.48s"", ""15.58 m""], [""t = 2.53s"", ""45.54 m""], [""t = 1.67s"", ""19.84 m""], [""t = 3.15s"", ""70.59 m""], [""t = 1.55s"", ""17.09 m""]]",gravity_scaling,original_classified
020d8b25,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 1.61s, distance = 25.18 m
For t = 3.28s, distance = 104.52 m
For t = 2.26s, distance = 49.62 m
Now, determine the falling distance for t = 1.69s given d = 0.5*g*t^2.",27.75,gravity,gravity_scaling,original,False,ok,t = 1.69s,3,"[[""t = 1.61s"", ""25.18 m""], [""t = 3.28s"", ""104.52 m""], [""t = 2.26s"", ""49.62 m""]]",gravity_scaling,original_classified
0214e81f,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 1.58s, distance = 8.84 m
For t = 3.31s, distance = 38.79 m
For t = 3.35s, distance = 39.74 m
For t = 1.91s, distance = 12.92 m
Now, determine the falling distance for t = 4.13s given d = 0.5*g*t^2.",60.39,gravity,gravity_scaling,original,False,ok,t = 4.13s,4,"[[""t = 1.58s"", ""8.84 m""], [""t = 3.31s"", ""38.79 m""], [""t = 3.35s"", ""39.74 m""], [""t = 1.91s"", ""12.92 m""]]",gravity_scaling,original_classified
023aa939,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 4.75s, distance = 149.17 m
For t = 4.31s, distance = 122.81 m
For t = 2.63s, distance = 45.73 m
For t = 4.01s, distance = 106.31 m
Now, determine the falling distance for t = 4.36s given d = 0.5*g*t^2.",125.68,gravity,gravity_scaling,original,False,ok,t = 4.36s,4,"[[""t = 4.75s"", ""149.17 m""], [""t = 4.31s"", ""122.81 m""], [""t = 2.63s"", ""45.73 m""], [""t = 4.01s"", ""106.31 m""]]",gravity_scaling,original_classified
