id,prompt,answer,task_type,source,is_replay,teacher_target,teacher_data_role,teacher_strategy
teacher_text_mapping_main_f32745f1,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
gme gfmhsh mdbpqz ebisd -> cat chases around tower
hepzsqe zdmih efs gpdjbph ymdzsq -> student draws the curious garden
mrjgs obrrbih efs mqgjsqe cjddbd -> alice follows the ancient mirror
Now, decrypt the following text: efs hjrvsd fmeesd imegfsh",the silver hatter watches,text_decryption,original,False,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_replay_a5ea81bb,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
9.61 m becomes 7.25
37.69 m becomes 28.43
17.24 m becomes 13.01
37.05 m becomes 27.95
Now, convert the following measurement: 17.62 m",13.29,unit_conversion,original,False,teacher_text_mapping,format_replay,text_mapping_format_replay_other_original
teacher_text_mapping_main_replay_dfad71ea,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
ainpj uixxivp pjfkjd -> mouse follows secret
dsj vrpj fcd lkcvp -> the wise cat draws
cxrfj kjclp qjbigl divjk -> alice reads beyond tower
Now, decrypt the following text: dsj cgfrjgd kcqqrd kjclp",the ancient rabbit reads,text_decryption,original_replay,True,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_main_da7f04b5,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
nallq rllr soptl ipqhlvfsqh -> queen sees above wonderland
ruahlqu ivjulr jqrjhl pmlsq -> student writes inside ocean
uxl ycrulvjpar ruahlqu ruahjlr -> the mysterious student studies
ojvh hvsir uvlsravl -> bird draws treasure
Now, decrypt the following text: msu zpffpir uxl yswjmsf dpujpq",cat follows the magical potion,text_decryption,original,False,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_main_6e4682d5,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
uqnnpt ipyvhxouy tbo rpyo wquiof -> rabbit discovers the wise garden
toqvbou zhkfi nhha -> teacher found book
dhkyo iuoqdy tbo ytuqfwo doyyqwo -> mouse dreams the strange message
Now, decrypt the following text: tbo nupwbt vqt zhkfi",the bright cat found,text_decryption,original,False,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_replay_5e67b1a1,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
93{16 = 001
18}99 = 9108
99{97 = 871
11<35 = 24<
Now, determine the result for: 32{31",63,numeric_equation,original,False,teacher_text_mapping,format_replay,text_mapping_format_replay_other_original
teacher_text_mapping_main_100c650a,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
ngel rijjiwz dhx zdeauqx zdiec -> bird follows the strange story
tugqhd zxxz fazdjx -> knight sees castle
ngel fexadxz dhx laet pidgiu -> bird creates the dark potion
eanngd lexayz dhx yaqgfaj txc -> rabbit dreams the magical key
tguq gyaqguxz qaelxu -> king imagines garden
Now, decrypt the following text: eanngd fexadxz aeikul ifxau",rabbit creates around ocean,text_decryption,original,False,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_main_5e2d5262,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
swak xyyx kvntya -> king sees garden
xcmtyac evcbdyx cdy vabwyac umiipy -> student watches the ancient puzzle
vpwby whvkwayx cdy xwpjyn umiipy -> alice imagines the silver puzzle
Now, decrypt the following text: gwnt youplnyx vnlmat jvppyf",bird explores around valley,text_decryption,original,False,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_main_11538779,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
gln mgvorsn iutmn yutra -> the strange mouse found
fwrs wioswrnm cvdmgoq -> king imagines crystal
gln suqanr cog yuqqupm -> the golden cat follows
avosur mgtawnm gln lwaanr jtxxqn -> dragon studies the hidden puzzle
Now, decrypt the following text: gtvgqn pogclnm gln cuquvytq mguvd",turtle watches the colorful story,text_decryption,original,False,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_replay_fb5a7b9e,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10010011 -> 00101001
01101101 -> 10010110
00110000 -> 00011000
11101111 -> 10010111
01011010 -> 01101101
00000111 -> 11100011
01000111 -> 11000011
11101101 -> 11010110
01011000 -> 00101100
01000010 -> 01100001

Now, determine the output for: 11110100",11111010,bit_manipulation,original,False,teacher_text_mapping,format_replay,text_mapping_format_replay_other_original
teacher_text_mapping_replay_4ed8b06a,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 1.74s, distance = 19.38 m
For t = 2.48s, distance = 39.38 m
For t = 1.25s, distance = 10.0 m
For t = 4.95s, distance = 156.88 m
For t = 4.78s, distance = 146.29 m
Now, determine the falling distance for t = 4.78s given d = 0.5*g*t^2.",146.29,gravity,original,False,teacher_text_mapping,format_replay,text_mapping_format_replay_other_original
teacher_text_mapping_main_replay_3661796c,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
blwnmrl nhmdpb lcm bmahml teez -> student dreams the secret book
blwnmrl ahmdlmb tmfern adxm -> student creates beyond cave
adl mjgkehmb lcm cynnmr lhmdbwhm -> cat explores the hidden treasure
Now, decrypt the following text: lcm uybm tyhn ahmdlmb",the wise bird creates,text_decryption,original_replay,True,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_main_replay_1741e260,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
upssxh fhpjc sux dhvqus mohxcs -> hatter draws the bright forest
cszfxts jpsauxc sux ptavxts apcsgx -> student watches the ancient castle
dvhf moztf sux azhvozc apcsgx -> bird found the curious castle
sux dhvqus jvkphf fhxpec -> the bright wizard dreams
izxxt fhxpec sux cxahxs exccpqx -> queen dreams the secret message
Now, decrypt the following text: szhsgx moggojc sux dhvqus mohxcs",turtle follows the bright forest,text_decryption,original_replay,True,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_replay_b643d81f,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
33-39 = -06
76-43 = 33
42-25 = -82
42*84 = 1511
52*36 = 4751
Now, determine the result for: 97-07",9,numeric_equation,original,False,teacher_text_mapping,format_replay,text_mapping_format_replay_other_original
teacher_text_mapping_main_1654bd39,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
ihf ulnlympn ipyinf tybifz -> the colorful turtle writes
tbgqyd boqebrfz wliblr -> wizard imagines potion
zipdfri fcwnlyfz brzbdf tlrdfynqrd -> student explores inside wonderland
olpzf mlprd br nbayqyk -> mouse found in library
Now, decrypt the following text: uqi mlnnltz afklrd eqydfr",cat follows beyond garden,text_decryption,original,False,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_main_replay_67ffad4c,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
kqlz twhjohm lhjw pjejth -> king creates near palace
iwjzfl ufeefsm oah zfeihl iffw -> dragon follows the golden door
pwqlthmm qcjzqlhm oah mowjlzh owhjmbwh -> princess imagines the strange treasure
Now, decrypt the following text: obwoeh mhhm jwfbli cfblojql",turtle sees around mountain,text_decryption,original_replay,True,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_main_replay_3860736d,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
nmx gzdzewfd gbn subjsoxh -> the colorful cat imagines
cesogxhh tesnxh cznszo -> princess writes potion
nmx gdxvxe yebjzo yexbuh -> the clever dragon dreams
Now, decrypt the following text: nmx tshx nxbgmxe tesnxh",the wise teacher writes,text_decryption,original_replay,True,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_main_replay_3bfa64a7,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
tslc rynzknj kynzjfyn -> king creates treasure
usizya uzkrbnj kbn bsaanl mfiixn -> wizard watches the hidden puzzle
yzoosk aynzej ryhjkzx -> rabbit dreams crystal
knzrbny aynzej lnzy evflkzsl -> teacher dreams near mountain
Now, decrypt the following text: jkfanlk npmxvynj sl gsxxzcn",student explores in village,text_decryption,original_replay,True,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_main_c3edc57d,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
rvkcevq wvvw wvcqvr -> teacher sees secret
ckr vpydgqvw rev cfqhgfw ohqqgq -> cat explores the curious mirror
rev kxchvxr ahmkqz ngddgaw -> the ancient wizard follows
rev okbhckd kdhcv zhwcgsvqw -> the magical alice discovers
jfvvx wvvw uggi -> queen sees book
Now, decrypt the following text: rvkcevq zqkaw fxzvq ykdkcv",teacher draws under palace,text_decryption,original,False,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_main_replay_894bd189,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
hngtkvcc vjhrunvc lgnnun -> princess explores mirror
zniyut engxvc lvcciyv -> dragon writes message
xmv mgzzvt cxbzvtx gliygtvc -> the hidden student imagines
mixxvn gliygtvc huxgut -> hatter imagines potion
Now, decrypt the following text: nippgx vjhrunvc lgnnun",rabbit explores mirror,text_decryption,original_replay,True,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_replay_ff8409cd,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
55)97 = )42
66'68 = 6668
90)83 = 7
96)65 = 31
Now, determine the result for: 28)19",9,numeric_equation,original,False,teacher_text_mapping,format_replay,text_mapping_format_replay_other_original
teacher_text_mapping_replay_37aad918,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
00111111 -> 00001110
11001101 -> 00001011
01100100 -> 10001000
11111000 -> 01110001
00110000 -> 01100000
11001110 -> 00011101
10000110 -> 00001101
11100000 -> 11000001

Now, determine the output for: 01111001",01100010,bit_manipulation,original,False,teacher_text_mapping,format_replay,text_mapping_format_replay_other_original
teacher_text_mapping_main_replay_a1ced986,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
fcnns nheboinr jun rjixsqn tnrrxqn -> queen explores the strange message
uxjjni rjczwnr xdokn wrbxsz -> hatter studies above island
pxj vxjpunr snxi vosznibxsz -> cat watches near wonderland
jun diwquj xbwpn zixvr -> the bright alice draws
Now, decrypt the following text: uxjjni inxzr jun rnpinj twiioi",hatter reads the secret mirror,text_decryption,original_replay,True,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_replay_c69a5a03,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
1 -> I
81 -> LXXXI
32 -> XXXII
37 -> XXXVII
39 -> XXXIX
Now, write the number 57 in the Wonderland numeral system.",LVII,numeral_system,original,False,teacher_text_mapping,format_replay,text_mapping_format_replay_other_original
teacher_text_mapping_replay_e830b594,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
47.45 m becomes 91.30
24.88 m becomes 47.87
7.44 m becomes 14.32
41.62 m becomes 80.08
27.0 m becomes 51.95
Now, convert the following measurement: 14.32 m",27.55,unit_conversion,original,False,teacher_text_mapping,format_replay,text_mapping_format_replay_other_original
teacher_text_mapping_main_bd97b95a,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
yqb ilaebz vdpe kljze -> the golden bird found
xzdiqy gpbuybn dz advpupw -> knight creates in library
xdzi pbuen tlydlz -> king reads potion
Now, decrypt the following text: vdpe nbbn yqb nbgpby iupebz",bird sees the secret garden,text_decryption,original,False,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_main_c0e9cf43,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
mlfmei kneendp xij -> turtle follows key
vetri dftmip moi dtpi stffnf -> alice writes the wise mirror
moi pmfvywi snlpi fivbp -> the strange mouse reads
Now, decrypt the following text: mlfmei rovpip pirfim",turtle chases secret,text_decryption,original,False,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_main_203576de,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
dtxhl idohaly oal ylhmlo rccm -> alice watches the secret door
oal htlelm bxmr wcgfr -> the clever bird found
hdo hadyly oal yxtelm klq -> cat chases the silver key
oal yxtelm dtxhl lzstcmly -> the silver alice explores
Now, decrypt the following text: bxmr hadyly oal rdmk klq",bird chases the dark key,text_decryption,original,False,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_main_72b15a2a,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
fao wznfcvpgn eay -> cat discovers map
olp wagd laoopg flanpn -> the dark hatter chases
hzgw ptykcgpn olp fkpvpg wccg -> bird explores the clever door
gahhzo wgpaen sagwpu -> rabbit dreams garden
jzqagw jaoflpn hccd -> wizard watches book
Now, decrypt the following text: gahhzo jaoflpn fanokp",rabbit watches castle,text_decryption,original,False,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_main_c0289d26,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
iyfk ywncydrh yd vyppncr -> bird imagines in village
qer hrafrq qmfqpr kyhabvrfh -> the secret turtle discovers
oyunfk hqmkyrh mdkrf anhqpr -> wizard studies under castle
Now, decrypt the following text: kfncbd tbppboh qefbmce anhqpr",dragon follows through castle,text_decryption,original,False,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_replay_054c2488,"In Alice's Wonderland, numbers are secretly converted into a different numeral system. Some examples are given below:
87 -> LXXXVII
53 -> LIII
9 -> IX
Now, write the number 85 in the Wonderland numeral system.",LXXXV,numeral_system,original,False,teacher_text_mapping,format_replay,text_mapping_format_replay_other_original
teacher_text_mapping_main_acb5e028,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
isuekc wmtyrkwd xwek vraxgesx -> wizard explores near mountain
feg ckwevd sx fejw -> cat dreams in cave
gwefowk dwwd dwfkwg -> teacher sees secret
gow brycwx gakgyw wmtyrkwd -> the golden turtle explores
lxsbog qraxc gow faksrad gkwedakw -> knight found the curious treasure
Now, decrypt the following text: lxsbog dgacswd gow exfswxg vskkrk",knight studies the ancient mirror,text_decryption,original,False,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_main_replay_02e2589e,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
yslqxsz rhcqioszc etrsz qlcyas -> teacher discovers under castle
yxs cyzltws rzlwit mietr -> the strange dragon found
zlffhy plyqxsc tslz nlalqs -> rabbit watches near palace
qly qzslysc qzbcyla -> cat creates crystal
Now, decrypt the following text: phjlzr miaaipc uhzziz",wizard follows mirror,text_decryption,original_replay,True,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_main_31ea3deb,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
awjeoy mgjemydc aoow -> dragon imagines door
hld uofowbvf smye bovya -> the colorful king found
hld ajws kmpjwa cddc -> the dark wizard sees
chvadyh kjhuldc hld uofowbvf gdccjed -> student watches the colorful message
hld jyumdyh tmwa awjkc -> the ancient bird draws
Now, decrypt the following text: rwmyudcc amcuoidwc hld twmelh toos",princess discovers the bright book,text_decryption,original,False,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_main_0b7cf346,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
gpj lykj lybrev verlk -> the wise wizard draws
gpj teyhpg erttyg fxzzxlk -> the bright rabbit follows
prggje ejrvk gpj wrhynrz kjnejg -> hatter reads the magical secret
prggje jsizxejk kgxeo -> hatter explores story
Now, decrypt the following text: lybrev nprkjk gpj teyhpg txxq",wizard chases the bright book,text_decryption,original,False,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_main_5ecf246d,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
vjnrth gpnrghzm hznj gmqnhv -> dragon imagines near island
osz fgmz moivzho xtqqtfm -> the wise student follows
osz pbmozjgtim whgrso jznvm -> the mysterious knight reads
Now, decrypt the following text: moivzho fnoeszm ihvzj otfzj",student watches under tower,text_decryption,original,False,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_main_165df245,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
ylppia gzkkzhu fwxia zdilw -> hatter follows under ocean
pyi dzkzagfk heblax gzkkzhu -> the colorful wizard follows
pyi ueknia qeax ailxu -> the silver bird reads
Now, decrypt the following text: dlp xalhu mlaxiw",cat draws garden,text_decryption,original,False,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_replay_b79f2b10,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
11001000 -> 01000110
10000000 -> 00000100
01110001 -> 00001001
00101011 -> 00001001
01111011 -> 00001001
00000011 -> 00011000
11010001 -> 00001110
11000110 -> 00110010
00000010 -> 00010000
11101000 -> 00000111

Now, determine the output for: 10101110",00100001,bit_manipulation,original,False,teacher_text_mapping,format_replay,text_mapping_format_replay_other_original
teacher_text_mapping_main_replay_971d1c24,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
dma zsguat ltsyvazz wtsdaz -> the silver princess writes
hstq wxdvmaz lbdsby -> bird watches potion
dftdga qtaxpz pazzxea -> turtle dreams message
ofaay rbggbwz dma htsemd rbtazd -> queen follows the bright forest
Now, decrypt the following text: dftdga zaaz dma vgauat rbtazd",turtle sees the clever forest,text_decryption,original_replay,True,teacher_text_mapping,main,text_mapping_original_focus
teacher_text_mapping_main_193cf3fa,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
zaojui iujzn pauuqu -> wizard draws mirror
taui rqddqzn gjnhdm -> bird follows castle
nhwimvh iujzn nmgumh -> student draws secret
ujttah rqddqzn fmy -> rabbit follows key
Now, decrypt the following text: hem ijuf zaojui iujzn",the dark wizard draws,text_decryption,original,False,teacher_text_mapping,main,text_mapping_original_focus
