id,prompt,answer,task_type,source,is_replay,teacher_target,teacher_data_role,teacher_strategy
teacher_symbolic_general_replay_74e525f0,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
10000110 -> 01001000
01110110 -> 00100111
11101110 -> 01101110
01100000 -> 00000110
01100010 -> 00100110
10001110 -> 01001000
01011101 -> 00000101
10101010 -> 00001010
01100001 -> 00010110
11100101 -> 01011110

Now, determine the output for: 10001100",01001000,bit_manipulation,original,False,teacher_symbolic_general,format_replay,symbolic_general_format_replay_other_original
teacher_symbolic_general_main_replay_2cf042b9,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
!>-)| = ]|
!|-)@ = -^^
@|+[| = <[
>^-<^ = -^
Now, determine the result for: |>-|[",?^,symbolic_cipher,original_replay,True,teacher_symbolic_general,main,symbolic_general_original_focus
teacher_symbolic_general_main_replay_ae4aef23,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
#<+`[ = `#<
%[+<| = ?!<
!&+!^ = ?[
[[+#& = [?<
?^-!% = -&^
Now, determine the result for: `|+&?",%<<,symbolic_cipher,original_replay,True,teacher_symbolic_general,main,symbolic_general_original_focus
teacher_symbolic_general_main_replay_811f5f56,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
(@:!} = \}!'
""'{@\ = @!
@^{]` = ^(]
@^&}^ = '
Now, determine the result for: (!:!@",\^^@,symbolic_cipher,original_replay,True,teacher_symbolic_general,main,symbolic_general_original_focus
teacher_symbolic_general_replay_2a55bb8d,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 1.74s, distance = 24.57 m
For t = 4.44s, distance = 159.98 m
For t = 2.43s, distance = 47.92 m
Now, determine the falling distance for t = 4.5s given d = 0.5*g*t^2.",164.33,gravity,original,False,teacher_symbolic_general,format_replay,symbolic_general_format_replay_other_original
teacher_symbolic_general_replay_0e19e1bb,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
44.64 m becomes 67.20
8.84 m becomes 13.31
7.77 m becomes 11.70
Now, convert the following measurement: 32.5 m",48.92,unit_conversion,original,False,teacher_symbolic_general,format_replay,symbolic_general_format_replay_other_original
teacher_symbolic_general_replay_e6cbc2bd,"In Alice's Wonderland, a secret bit manipulation rule transforms 8-bit binary numbers. The transformation involves operations like bit shifts, rotations, XOR, AND, OR, NOT, and possibly majority or choice functions.

Here are some examples of input -> output:
01110100 -> 00000001
01101101 -> 00000001
00100110 -> 10000000
00000001 -> 00000000
00010001 -> 01000000
10010000 -> 00000010
01110011 -> 11000001
11011010 -> 00000011

Now, determine the output for: 11001101",00000011,bit_manipulation,original,False,teacher_symbolic_general,format_replay,symbolic_general_format_replay_other_original
teacher_symbolic_general_main_replay_826bf843,"In Alice's Wonderland, a secret set of transformation rules is applied to equations. Below are a few examples:
^/-<[ = -#`
[/*<` = /^<`
<!+#< = ^/
``*<"" = /)^""
/!-/^ = -/
Now, determine the result for: [#-$[",-$),symbolic_cipher,original_replay,True,teacher_symbolic_general,main,symbolic_general_original_focus
teacher_symbolic_general_replay_4a38c4e6,"In Alice's Wonderland, the gravitational constant has been secretly changed. Here are some example observations:
For t = 3.49s, distance = 48.45 m
For t = 3.07s, distance = 37.49 m
For t = 2.32s, distance = 21.41 m
For t = 2.09s, distance = 17.38 m
Now, determine the falling distance for t = 1.41s given d = 0.5*g*t^2.",7.91,gravity,original,False,teacher_symbolic_general,format_replay,symbolic_general_format_replay_other_original
teacher_symbolic_general_replay_821e386f,"In Alice's Wonderland, a secret unit conversion is applied to measurements. For example:
48.74 m becomes 34.98
49.9 m becomes 35.81
38.28 m becomes 27.47
Now, convert the following measurement: 10.75 m",7.72,unit_conversion,original,False,teacher_symbolic_general,format_replay,symbolic_general_format_replay_other_original
