id,prompt,answer,category,subcategory,source,is_augmented,parse_status,target_text,num_examples,examples_json,rule_type,confidence_hint
00189f6a,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
ucoov pwgtfyoqg vorq yrjjoe -> queen discovers near valley
pqrsfv pqorzg wvgwpo trgbjo -> dragon dreams inside castle
gbcpovb tqorbog bxo zrswtrj pffq -> student creates the magical door
bxo sfjpov pqrsfv dfjjfig -> the golden dragon follows
nqwvtogg qorpg bxo zegboqwfcg gotqob -> princess reads the mysterious secret
Now, decrypt the following text: trb wzrswvog hffk",cat imagines book,cipher,substitution_or_word_cipher,original,False,ok,trb wzrswvog hffk,5,"[[""ucoov pwgtfyoqg vorq yrjjoe"", ""queen discovers near valley""], [""pqrsfv pqorzg wvgwpo trgbjo"", ""dragon dreams inside castle""], [""gbcpovb tqorbog bxo zrswtrj pffq"", ""student creates the magical door""], [""bxo sfjpov pqrsfv dfjjfig"", ""the golden dragon follows""], [""nqwvtogg qorpg bxo zegboqwfcg gotqob"", ""princess reads the mysterious secret""]]",substitution_or_word_cipher,original_classified
001c63cb,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
wkgqa lsrqaq wneeke -> mouse chases mirror
wkgqa nwrjnvaq nv brmrla -> mouse imagines in palace
srppae oerhq gvoae wkgvprnv -> hatter draws under mountain
psa qaleap hncreo onqlkzaeq -> the secret wizard discovers
psa hnqa xneo earoq -> the wise bird reads
Now, decrypt the following text: hncreo learpaq qaleap",wizard creates secret,cipher,substitution_or_word_cipher,original,False,ok,hncreo learpaq qaleap,5,"[[""wkgqa lsrqaq wneeke"", ""mouse chases mirror""], [""wkgqa nwrjnvaq nv brmrla"", ""mouse imagines in palace""], [""srppae oerhq gvoae wkgvprnv"", ""hatter draws under mountain""], [""psa qaleap hncreo onqlkzaeq"", ""the secret wizard discovers""], [""psa hnqa xneo earoq"", ""the wise bird reads""]]",substitution_or_word_cipher,original_classified
005ad22a,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
hmxad apdhvdq vid ohexahm apwqvhm -> alice creates the magical crystal
zxuhpl zhvaidq xyqxld txmmhed -> wizard watches inside village
nfddy xohexydq xy ehpldy -> queen imagines in garden
osfqd qddq lssp -> mouse sees door
vid amdtdp zxuhpl dgjmspdq -> the clever wizard explores
Now, decrypt the following text: bxye aihqdq ahqvmd",king chases castle,cipher,substitution_or_word_cipher,original,False,ok,bxye aihqdq ahqvmd,5,"[[""hmxad apdhvdq vid ohexahm apwqvhm"", ""alice creates the magical crystal""], [""zxuhpl zhvaidq xyqxld txmmhed"", ""wizard watches inside village""], [""nfddy xohexydq xy ehpldy"", ""queen imagines in garden""], [""osfqd qddq lssp"", ""mouse sees door""], [""vid amdtdp zxuhpl dgjmspdq"", ""the clever wizard explores""]]",substitution_or_word_cipher,original_classified
00674059,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
xkffmh chmkfmn ewhmnf -> hatter creates forest
hkyydf cxknmn chbnfkj -> rabbit chases crystal
shkawg cxknmn dg owugfkdg -> dragon chases in mountain
Now, decrypt the following text: kjdcm pkfcxmn ugsmh pwgsmhjkgs",alice watches under wonderland,cipher,substitution_or_word_cipher,original,False,ok,kjdcm pkfcxmn ugsmh pwgsmhjkgs,3,"[[""xkffmh chmkfmn ewhmnf"", ""hatter creates forest""], [""hkyydf cxknmn chbnfkj"", ""rabbit chases crystal""], [""shkawg cxknmn dg owugfkdg"", ""dragon chases in mountain""]]",substitution_or_word_cipher,original_classified
00a3fd23,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
wfmkg gajifbgk vdkqig -> mouse explores castle
yuelxq rbgdwk eu zdiigh -> knight dreams in valley
jbeuvgkk pdqvxgk qxg vmbefmk sffy -> princess watches the curious book
qxg duveguq dievg bgdrk -> the ancient alice reads
Now, decrypt the following text: petdbr pdqvxgk qxbfmlx iesbdbh",wizard watches through library,cipher,substitution_or_word_cipher,original,False,ok,petdbr pdqvxgk qxbfmlx iesbdbh,4,"[[""wfmkg gajifbgk vdkqig"", ""mouse explores castle""], [""yuelxq rbgdwk eu zdiigh"", ""knight dreams in valley""], [""jbeuvgkk pdqvxgk qxg vmbefmk sffy"", ""princess watches the curious book""], [""qxg duveguq dievg bgdrk"", ""the ancient alice reads""]]",substitution_or_word_cipher,original_classified
00efa37c,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
vmelt lyvutu wyt lfmfcaom keccfc -> alice chases the colorful mirror
lvw afobd wyt xfmdtb dffc -> cat found the golden door
wyt uemitc wtvlytc tnjmfctu -> the silver teacher explores
jcebltuu lctvwtu wyt locefou sffp -> princess creates the curious book
pbexyw hvwlytu wyt xfmdtb joggmt -> knight watches the golden puzzle
Now, decrypt the following text: wocwmt hvwlytu wyt kzuwtcefou xvcdtb",turtle watches the mysterious garden,cipher,substitution_or_word_cipher,original,False,ok,wocwmt hvwlytu wyt kzuwtcefou xvcdtb,5,"[[""vmelt lyvutu wyt lfmfcaom keccfc"", ""alice chases the colorful mirror""], [""lvw afobd wyt xfmdtb dffc"", ""cat found the golden door""], [""wyt uemitc wtvlytc tnjmfctu"", ""the silver teacher explores""], [""jcebltuu lctvwtu wyt locefou sffp"", ""princess creates the curious book""], [""pbexyw hvwlytu wyt xfmdtb joggmt"", ""knight watches the golden puzzle""]]",substitution_or_word_cipher,original_classified
017a161b,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
tfsu lsjimjx xjlsjm -> bird creates secret
sittfm pnvvngx mqj ihlfjhm unns -> rabbit follows the ancient door
zndxj jabvnsjx wisujh -> mouse explores garden
Now, decrypt the following text: sittfm lsjimjx fh nljih",rabbit creates in ocean,cipher,substitution_or_word_cipher,original,False,ok,sittfm lsjimjx fh nljih,3,"[[""tfsu lsjimjx xjlsjm"", ""bird creates secret""], [""sittfm pnvvngx mqj ihlfjhm unns"", ""rabbit follows the ancient door""], [""zndxj jabvnsjx wisujh"", ""mouse explores garden""]]",substitution_or_word_cipher,original_classified
0184a864,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
mof mzodvd dfrqy -> cat chases story
lrsdv dfsaevd fzv iedv mqydfoc -> mouse studies the wise crystal
fzv aoqx aqourn aqoid -> the dark dragon draws
Now, decrypt the following text: iehoqa qvoad en beccouv",wizard reads in village,cipher,substitution_or_word_cipher,original,False,ok,iehoqa qvoad en beccouv,3,"[[""mof mzodvd dfrqy"", ""cat chases story""], [""lrsdv dfsaevd fzv iedv mqydfoc"", ""mouse studies the wise crystal""], [""fzv aoqx aqourn aqoid"", ""the dark dragon draws""]]",substitution_or_word_cipher,original_classified
018c6f61,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
lzddf adda edm -> queen sees key
uqd iztshza udwiqdt sgwvsfda -> the curious teacher imagines
pstc dokbhtda xhtdau -> bird explores forest
udwiqdt dokbhtda fdwt nwbbdm -> teacher explores near valley
Now, decrypt the following text: uqd rsad ctwvhf rwuiqda",the wise dragon watches,cipher,substitution_or_word_cipher,original,False,ok,uqd rsad ctwvhf rwuiqda,4,"[[""lzddf adda edm"", ""queen sees key""], [""uqd iztshza udwiqdt sgwvsfda"", ""the curious teacher imagines""], [""pstc dokbhtda xhtdau"", ""bird explores forest""], [""udwiqdt dokbhtda fdwt nwbbdm"", ""teacher explores near valley""]]",substitution_or_word_cipher,original_classified
01c5cb71,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
ytales ytabq qietz -> dragon draws story
oaiift xegsy weices -> hatter found potion
arcvf fjwretfq iof qitaslf itfaqgtf -> alice explores the strange treasure
degqf ytfadq dcttet -> mouse dreams mirror
Now, decrypt the following text: qigyfsi xerrebq peen",student follows book,cipher,substitution_or_word_cipher,original,False,ok,qigyfsi xerrebq peen,4,"[[""ytales ytabq qietz"", ""dragon draws story""], [""oaiift xegsy weices"", ""hatter found potion""], [""arcvf fjwretfq iof qitaslf itfaqgtf"", ""alice explores the strange treasure""], [""degqf ytfadq dcttet"", ""mouse dreams mirror""]]",substitution_or_word_cipher,original_classified
01fa1f37,"In Alice's Wonderland, secret encryption rules are used on text. Here are some examples:
ejrus ivjjvcq udlqmej -> alice follows crystal
mos yedt trbx uoeqsq -> the dark king chases
trbx ivgby fvmrvb -> king found potion
crhedy udsemsq zvvt -> wizard creates book
ngssb qmgyrsq wef -> queen studies map
Now, decrypt the following text: trbx qmgyrsq zslvby aejjsl",king studies beyond valley,cipher,substitution_or_word_cipher,original,False,ok,trbx qmgyrsq zslvby aejjsl,5,"[[""ejrus ivjjvcq udlqmej"", ""alice follows crystal""], [""mos yedt trbx uoeqsq"", ""the dark king chases""], [""trbx ivgby fvmrvb"", ""king found potion""], [""crhedy udsemsq zvvt"", ""wizard creates book""], [""ngssb qmgyrsq wef"", ""queen studies map""]]",substitution_or_word_cipher,original_classified
